2025-09-18 21:30:28.504 | INFO     | __main__:create_app:291 - Initializing vector store...
2025-09-18 21:30:29.536 | INFO     | rag.utils:init_vector_store:95 - No existing collection found or error deleting: Collection [highlights] does not exists
2025-09-18 21:30:29.541 | INFO     | rag.utils:init_vector_store:105 - Loading highlights data from datasets/daily_highlights.csv
2025-09-18 21:30:33.516 | ERROR    | __main__:create_app:295 - Failed to initialize: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}} in upsert.
2025-09-18 21:54:27.898 | INFO     | __main__:create_app:291 - Initializing vector store...
2025-09-18 21:54:28.085 | INFO     | rag.utils:init_vector_store:93 - Deleted existing highlights collection to refresh data
2025-09-18 21:54:28.089 | INFO     | rag.utils:init_vector_store:105 - Loading highlights data from datasets/daily_highlights.csv
2025-09-18 21:54:31.758 | ERROR    | __main__:create_app:295 - Failed to initialize: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}} in upsert.
2025-09-18 22:23:31.460 | INFO     | __main__:create_app:291 - Initializing vector store...
2025-09-18 22:23:31.656 | INFO     | rag.utils:init_vector_store:93 - Deleted existing highlights collection to refresh data
2025-09-18 22:23:31.660 | INFO     | rag.utils:init_vector_store:105 - Loading highlights data from datasets/daily_highlights.csv
2025-09-18 22:23:35.696 | ERROR    | __main__:create_app:295 - Failed to initialize: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}} in upsert.
2025-09-18 22:26:49.024 | INFO     | __main__:create_app:291 - Initializing vector store...
2025-09-18 22:26:49.150 | INFO     | rag.utils:init_vector_store:93 - Deleted existing highlights collection to refresh data
2025-09-18 22:26:49.152 | INFO     | rag.utils:init_vector_store:105 - Loading highlights data from datasets/daily_highlights.csv
2025-09-18 22:26:52.096 | ERROR    | __main__:create_app:295 - Failed to initialize: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}} in upsert.
2025-09-18 22:31:09.261 | INFO     | __main__:create_app:291 - Initializing vector store...
2025-09-18 22:31:09.434 | INFO     | rag.utils:init_vector_store:93 - Deleted existing highlights collection to refresh data
2025-09-18 22:31:09.438 | INFO     | rag.utils:init_vector_store:105 - Loading highlights data from datasets/daily_highlights.csv
2025-09-18 22:31:12.411 | ERROR    | __main__:create_app:295 - Failed to initialize: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}} in upsert.
2025-09-18 22:47:11.672 | INFO     | __main__:create_app:291 - Initializing vector store...
2025-09-18 22:47:11.882 | INFO     | rag.utils:init_vector_store:93 - Deleted existing highlights collection to refresh data
2025-09-18 22:47:11.886 | INFO     | rag.utils:init_vector_store:105 - Loading highlights data from datasets/daily_highlights.csv
2025-09-18 22:47:13.358 | INFO     | rag.utils:init_vector_store:138 - Added 25 highlights to vector store
2025-09-18 22:47:13.359 | INFO     | __main__:create_app:293 - Vector store initialized successfully
